Goal_Position_X, Goal_Position_Y, Goal_Position_Z, Effector_Position_X, Effector_Position_Y, Effector_Position_Z
-95.76664128177184, 37.91767948607132, 7.0, -89.39075853925698, 31.47128749049982, 6.379067327261461
-95.57585659377006, 38.39603672733818, 7.0, -89.15194753297864, 31.806313203119835, 6.391156695534907
-95.38268251433132, 38.87343406968664, 7.0, -88.91177530461772, 32.13856744398959, 6.403526592870476
-95.18712387279757, 39.34985957820802, 7.0, -88.67027682157563, 32.46804989044096, 6.416173004642548
-94.98918555812467, 39.825301342289414, 7.0, -88.42748672446868, 32.79476077773779, 6.429091902884636
-94.78887251876017, 40.29974747591148, 7.0, -88.18343932004086, 33.11870088753531, 6.442279248408905
-94.5861897625196, 40.7731861179456, 7.0, -87.9381685744874, 33.43987153623843, 6.455730992887146
-94.38114235646134, 41.24560543245036, 7.0, -87.69170810713925, 33.75827456331514, 6.469443080885214
-94.17373542675985, 41.71699360896753, 7.0, -87.44409118455346, 34.07391231952703, 6.4834114518575525
-93.96397415857756, 42.18733886281723, 7.0, -87.19535071489999, 34.38678765519485, 6.497632042089222
-93.75186379593526, 42.65662943539261, 7.0, -86.94551924281755, 34.69690390834086, 6.512100786603711
-93.53740964158098, 43.1248535944538, 7.0, -86.69462894452856, 35.00426489290256, 6.5268136210111125
-93.32061705685739, 43.59199963442122, 7.0, -86.4427116233794, 35.30887488688486, 6.5417664833194475
-93.1014914615678, 44.0580558766682, 7.0, -86.18979870568609, 35.61073862055066, 6.5569553156926155
-92.88003833384073, 44.52301066981294, 7.0, -85.93592123693793, 35.9098612646195, 6.572376066162031
-92.6562632099928, 44.986852390009844, 7.0, -85.68110987833809, 36.20624841848826, 6.588024690290703
-92.43017168439046, 45.44956944124006, 7.0, -85.42539490367017, 36.4999060984916, 6.603897152786022
-92.20176940931009, 45.911150255601406, 7.0, -85.16880619646574, 36.790840726228126, 6.619989429065341
-91.97106209479666, 46.37158329359757, 7.0, -84.91137324754166, 37.07905911689504, 6.636297506773725
-91.73805550852101, 46.83085704442658, 7.0, -84.65312515277822, 37.36456846773848, 6.652817387248208
-91.50275547563565, 47.288960026268576, 7.0, -84.39409061122805, 37.64737634655815, 6.669545086936893
-91.26516787862919, 47.74588078657289, 7.0, -84.13429792354708, 37.92749068026485, 6.686476638768877
-91.02529865717915, 48.2016079023443, 7.0, -83.8737749906649, 38.20491974355797, 6.703608093471624
-90.78315380800358, 48.656129980428645, 7.0, -83.61254931274371, 38.47967214769705, 6.720935520842693
-90.53873938471106, 49.109435657797654, 7.0, -83.35064798843472, 38.75175682935155, 6.73845501097305
-90.29206149764953, 49.561513601833, 7.0, -83.08809771437225, 39.02118303957471, 6.756162675420086
-90.04312631375323, 50.012352510609624, 7.0, -82.82492478491959, 39.287960332897256, 6.774054648334283
-89.79194005638884, 50.46194111317829, 7.0, -82.56115509219357, 39.55209855651777, 6.792127087539237
-89.5385090051997, 50.910268169847356, 7.0, -82.29681412628713, 39.81360783964599, 6.8103761755611725
-89.28283949594889, 51.35732247246375, 7.0, -82.03192697576381, 40.07249858295096, 6.828798120618101
-89.02493792036083, 51.80309284469319, 7.0, -81.76651832834533, 40.32878144816364, 6.84738915755582
-88.76481072596145, 52.24756814229958, 7.0, -81.50061247182282, 40.58246734781637, 6.866145548744973
-88.5024644159171, 52.69073725342364, 7.0, -81.23423329522517, 40.83356743509174, 6.885063584930516
-88.23790554887186, 53.13258909886068, 7.0, -80.96740429006871, 41.08209309389521, 6.904139586034336
-87.97114073878362, 53.573112632337555, 7.0, -80.7001485519648, 41.32805592898283, 6.9233699019238015
-87.70217665475872, 54.01229684078889, 7.0, -80.43248878225727, 41.57146775632591, 6.942750913124619
-87.43102002088528, 54.450130744632354, 7.0, -80.16444728996338, 41.812340593570674, 6.962279031504589
-87.15767761606502, 54.88660339804314, 7.0, -79.89604599377896, 42.050686650710276, 6.981950700906147
-86.8821562738438, 55.32170388922765, 7.0, -79.62730642434808, 42.28651832086972, 7.0017623977471
-86.60446288224085, 55.75542134069625, 7.0, -79.35824972659168, 42.51984817130217, 7.0217106315738995
-86.32460438357649, 56.18774490953527, 7.0, -79.08889666229572, 42.75068893449569, 7.041791945584816
-86.04258777429861, 56.618663787677995, 7.0, -78.81926761272666, 42.979053499503095, 7.062002917105365
-85.75842010480774, 57.048167202174916, 7.0, -78.54938258144875, 43.204954903417175, 7.082340158036484
-85.47210847928085, 57.47624441546304, 7.0, -78.27926119728355, 43.42840632299837, 7.102800315262076
-85.18366005549363, 57.90288472563432, 7.0, -78.00892271735938, 43.64942106649009, 7.123380071019736
-84.89308204464169, 58.32807746670324, 7.0, -77.7383860302352, 43.86801256563252, 7.144076143239648
-84.60038171116013, 58.751812008873415, 7.0, -77.46766965926182, 44.08419436778393, 7.1648852858535435
-84.30556637254206, 59.17407775880335, 7.0, -77.19679176590611, 44.297980128272506, 7.18580428906216
-84.00864339915559, 59.59486415987129, 7.0, -76.92577015324042, 44.50938360290163, 7.20682997957939
-83.70962021405958, 60.01416069243915, 7.0, -76.6546222695541, 44.71841864060332, 7.227959220844194
-83.4085042928181, 60.431956874115414, 7.0, -76.38336521193854, 44.9250991763149, 7.249188913196859
-83.10530316331348, 60.848242260017315, 7.0, -76.11201573010047, 45.1294392239677, 7.270515994037581
-82.80002440555819, 61.263006443031905, 7.0, -75.84059023009561, 45.331452869701984, 7.291937437943533
-82.49267565150524, 61.67623905407619, 7.0, -75.56910477828457, 45.53115426519657, 7.3134502567738915
-82.1832645848575, 62.08792976235644, 7.0, -75.2975751051711, 45.728557621234025, 7.335051499730955
-81.87179894087552, 62.498068275626366, 7.0, -75.02601660951602, 45.92367720135509, 7.356738253418736
-81.55828650618416, 62.9066443404445, 7.0, -74.7544443622746, 46.11652731575638, 7.37850764185045
-81.24273511857798, 63.31364774243051, 7.0, -74.48287311077284, 46.307122315296695, 7.400356826458884
-80.92515266682521, 63.71906830652055, 7.0, -74.21131728279423, 46.49547658570298, 7.422283006062572
-80.60554709047062, 64.12289589722162, 7.0, -73.93979099079253, 46.681604541915306, 7.444283416825882
-80.28392637963698, 64.525120418865, 7.0, -73.6683080360863, 46.865520622605764, 7.466355332187506
-79.9602985748253, 64.92573181585858, 7.0, -73.39688191307818, 47.0472392848634, 7.488496062774575
-79.63467176671385, 65.3247200729383, 7.0, -73.12552581357104, 47.22677499901067, 7.51070295629733
-79.30705409595585, 65.72207521541854, 7.0, -72.85425263100262, 47.40414224360408, 7.532973397420708
-78.97745375297605, 66.11778730944141, 7.0, -72.58307496477826, 47.57935550057196, 7.5553048076250295
-78.6458789777658, 66.51184646222517, 7.0, -72.31200512457931, 47.75242925050859, 7.577694645043666
-78.31233805967724, 66.90424282231155, 7.0, -72.04105513469452, 47.923377968116185, 7.600140404288927
-77.97683933721598, 67.29496657981194, 7.0, -71.77023673834569, 48.092216117797754, 7.622639616258812
-77.63939119783257, 67.68400796665279, 7.0, -71.49956140203389, 48.25895814939136, 7.645189847933869
-77.30000207771293, 68.07135725681968, 7.0, -71.2290403198813, 48.42361849404518, 7.667788702154455
-76.95868046156738, 68.45700476660052, 7.0, -70.95868441792896, 48.58621156024854, 7.690433817388629
-76.61543488241855, 68.84094085482768, 7.0, -70.6885043585451, 48.746751729968096, 7.713122867489114
-76.27027392138805, 69.22315592311892, 7.0, -70.41851054464044, 48.9052533549637, 7.735853561429202
-75.92320620748193, 69.60364041611744, 7.0, -70.14871312406626, 49.06173075320072, 7.758623643042235
-75.57424041737494, 69.98238482173076, 7.0, -69.87912199386207, 49.21619820541114, 7.781430890735171
-75.22338527519368, 70.35937967136846, 7.0, -69.6097468045458, 49.368669951781534, 7.804273117203505
-74.8706495522984, 70.7346155401789, 7.0, -69.34059696437893, 49.51916018876271, 7.827148169130361
-74.51604206706385, 71.10808304728494, 7.0, -69.07168164357724, 49.667683066013716, 7.850053926879447
-74.15957168465864, 71.47977285601833, 7.0, -68.80300977860975, 49.81425268343928, 7.872988304182057
-73.8012473168238, 71.84967567415323, 7.0, -68.5345900762551, 49.95888308839085, 7.895949247805602
-73.44107792164986, 72.21778225413844, 7.0, -68.26643101790141, 50.10158827294194, 7.918934737234735
